posted_date,text,likes,comments,reposts,appreciations,empathy,praises,interests,has_images,num_images,has_video,post_url,poster_name,poster_linkedin_url,reshared,time,urn,video_duration,video_stream_url
2025-06-10 03:51:09,"Tokyo Electron 
= A leading Semiconductor Production Equipment Company

#TokyoElectron (#TEL) has a wide range of products with No.1 or No.2 global market share.

Did you know almost all semiconductors in the world today go through TEL’s equipment in their production sequence?

#TechnologyEnablingLife",116,2,8,2,1,2,0,False,0,True,https://www.linkedin.com/posts/tokyoelectron_tokyoelectron-tel-technologyenablinglife-activity-7338050065489416192-iacO,TOKYO ELECTRON LIMITED,https://www.linkedin.com/company/tokyoelectron/posts,False,1 week ago,7338050065489416192,25566,https://dms.licdn.com/playlist/vid/v2/D5605AQHMhUB0u3oQMg/mp4-720p-30fp-crf28/B56ZdX9n7qHUBQ-/0/1749527467406?e=1750838400&v=beta&t=wpjTkUa3XvCrzWYdOKD4PjuWRR4vRZUbu_sfUXQ308w
2025-06-11 02:54:53,"#TokyoElectron (#TEL) is engaged in social contribution activities under the brand name called TEL FOR GOOD, aiming to deepen relationships of trust with our stakeholders and contributes to solving social issues as well as the development of local communities.

On June 8th, the ""NHK Student Robocon (Robot Combat) 2025 - ABU Asia Pacific Robocon Representative Selection Tournament"" sponsored by TEL, took place at the Ota Ward General Gymnasium, Tokyo.

In this competition, students are given a task, which was robot basketball this year, to create a robot using their own ideas, and the competition tests their technical ability and creativity. The applicants were selected through a video screening and other processes.

The TEL Award was presented to ""T-semi"" team from Tohoku University🏆
Congratulations and thanks all the participants for your hard work👍

The TEL Group will continue to support ""Roboconist*""😊

#TELFORGOOD #NHKStudentRobocon #Robocon

*Roboconist: a student who participates in Robocon",66,0,1,0,1,0,0,True,1,False,https://www.linkedin.com/posts/tokyoelectron_tokyoelectron-tel-telforgood-activity-7338398292231237632-kcuB,TOKYO ELECTRON LIMITED,https://www.linkedin.com/company/tokyoelectron/posts,False,1 week ago,7338398292231237632,,
2025-06-08 00:00:12,"Happy World Ocean Day! ✨🌍

As climate change becomes more serious, we are advancing our efforts for environmental conservation through our TEL FOR GOOD social contribution activities, in addition to initiatives for waste reduction in our business!💪

In May, our team in Taiwan, along with their families and partners, took part in a cleanup event. We not only cleaned up but also learned about the local history and natural environment! ✨

Plus, at our Kyushu plant, we're using recycled plastic pallets made partially from Ocean Bound Plastic (OBP) for inventory storage, helping to combat marine pollution.

Tokyo Electron will continue to advance its efforts toward achieving Net Zero by 2040!

#WorldOceanDay 
#NetZero
#TokyoElectron
#TEL
#TELFORGOOD
#TechnologyEnablingLife",93,1,4,1,1,2,0,True,1,False,https://www.linkedin.com/posts/tokyoelectron_worldoceanday-netzero-tokyoelectron-activity-7337267166469070848-B8FM,TOKYO ELECTRON LIMITED,https://www.linkedin.com/company/tokyoelectron/posts,False,1 week ago,7337267166469070848,,
2025-06-05 14:00:12,"Today is World Environment Day! 🌱 

At Tokyo Electron Group, we are committed to achieving net zero by 2040. As a leader in our industry, we are proud to promote our E-COMPASS initiative (Environmental Co-Creation by Material, Process, and Subcomponent Solutions), which focuses on reducing environmental impact across the entire lifecycle of our products. Last year, during our “E-COMPASS Day” event, we gathered insights and action plans with 745 business partners to further our environmental efforts. 

Our global teams are actively engaged in various initiatives for environmental conservation, including water rice paddy restoration, tree planting, cleaning activities, environmental education, and participation in charity events. 
You can learn more about TEL employees’ efforts here: 
https://lnkd.in/gm--U3ut

Together, let's continue to accelerate our initiatives for a sustainable future! 💪🌿

#WorldEnvironmentDay 
#Sustainability
#TokyoElectron
#TEL",57,0,4,0,2,1,0,True,1,False,https://www.linkedin.com/posts/tokyoelectron_worldenvironmentday-sustainability-tokyoelectron-activity-7336391396045594624-T3Xt,TOKYO ELECTRON LIMITED,https://www.linkedin.com/company/tokyoelectron/posts,False,1 week ago,7336391396045594624,,
2025-06-06 06:00:08,"Exciting News! 
Students from The University of Texas visited the Tokyo Electron headquarters, exploring how our technology is transforming the world! 

◆Now is an Exciting Time for the Semiconductor Industry
In a technology session led by one of TEL's General managers, Dr. Peter Loewenhardt, we discussed the remarkable growth of the semiconductor market expected in the next decade and the technological transformations underway. Peter highlighted key equipment technologies required for processes at the angstrom level and the changes in major semiconductor devices including #Logic, #DRAM, and 3D #NAND. 

◆Energy-Efficient Semiconductor Devices and Sustainability: #NetZero
Peter discussed critical challenges, including energy consumption and the need for innovation in semiconductor technology. In 2020-2021, the industry experienced a high growth rate of 26% annually, raising concerns about future energy usage. He indicated that by 2045, the industry could potentially consume all the world’s energy, highlighting the urgent need for more energy-efficient devices.

Students inquired about TEL's sustainability initiatives, learning that TEL aims to achieve net-zero for scopes 1, 2, and 3 emissions by 2040. 
Peter emphasized the need for collaboration to tackle challenges while advancing technology. 🤝 

◆Talk Session
During our talk session with current employees, a variety of questions arose, from everyday curiosities to future career discussions—making it a valuable experience for all!
The enthusiasm of the students reflected their commitment to shaping the future of semiconductor technology. 

TEL is dedicated to nurturing talent through industry-academia collaborations and internships, driving effective innovation within our ecosystem. 

Thank you, University of Texas students, for joining us!

#TheUniversityofTexas
#STEM
#Semiconductors
#TechnologyEnablingLife
 #TokyoElectron
 #TEL",254,1,3,2,4,7,0,True,8,False,https://www.linkedin.com/posts/tokyoelectron_logic-dram-nand-activity-7336632972676145153-QqLe,TOKYO ELECTRON LIMITED,https://www.linkedin.com/company/tokyoelectron/posts,False,1 week ago,7336632972676145153,,
2025-06-16 04:29:48,"#TokyoElectron has extended its strategic partnership with imec, a world-leading research and innovation hub in nanoelectronics and digital technologies. 

The agreement marks the start of a new five-year phase in their long-standing alliance. It will enable imec and TEL to deepen their joint R&D efforts in key areas such as next-generation patterning, advanced logic device processing, future memory development, and 3D integration – all aimed at developing semiconductor nodes beyond 2nm.

Tokyo Electron CEO, Toshiki Kawai's comment:
""We are pleased to extend our collaboration with imec, a world leader in semiconductor research. This agreement reinforces our commitment to staying at the forefront of innovation while accelerating the development of technologies critical for advanced nodes. By leveraging imec’s expertise in process optimization and sustainability, we are confident we can deliver solutions that meet the performance and environmental demands of our global customer base.”

https://lnkd.in/gjSg4uCR

#TechnologyEnablingLife",92,0,4,0,2,3,0,False,0,False,https://www.linkedin.com/posts/tokyoelectron_tokyo-electron-and-imec-extend-partnership-activity-7340234117164257280-dddC,TOKYO ELECTRON LIMITED,https://www.linkedin.com/company/tokyoelectron/posts,False,2 days ago,7340234117164257280,,
2025-06-16 02:30:13,"The international conference on Atomic Layer Deposition (ALD) and Atomic Layer Etching (ALE), essential technologies for the scaling of semiconductor devices, will be held from June 22 to 25, 2025, in Jeju Island, South Korea.

TEL will present 10 technical presentations, including collaborative projects with partners, and Robert Clark from TEL, who serves on the ALD Program Committee, will moderate a session. This international conference not only provides an opportunity to learn about cutting-edge technological trends but also offers valuable networking time with industry experts.

We hope you are looking forward to #ALDALE 2025!

Please take a look at our presenters from here!
https://lnkd.in/gsHiqvVh


#Semiconductor 
#TokyElectron 
#TEL 
#TechnologyEnablingLife",43,0,2,0,0,0,0,False,0,False,https://www.linkedin.com/posts/tokyoelectron_aldale2025-news-room-tokyo-electron-activity-7340204021929922561-2lTC,TOKYO ELECTRON LIMITED,https://www.linkedin.com/company/tokyoelectron/posts,False,2 days ago,7340204021929922561,,
2025-06-13 09:00:02,"How much do you know about Tokyo Electron?

Through our corporate blog, we provide insights into the people and culture at TEL, as well as the technologies we develop. In our latest blog post, we cover a roundtable discussion featuring female engineers who are working in Japan, along with corporate officers.

Discover how they’re working, what they're thinking, and how they're taking action toward the next growth phase of TEL. We invite you to learn about the people who are evolving TEL through this blog!

Highlights of the Discussion: 
◆TEL = A Space Where Dynamic Perspectives Converge
◆Supportive Networks, Interpersonal Connections, Challenges Faced, Ideas for Future Change
◆The Importance of Thoughtful Communication

Check out the blog here:
https://lnkd.in/eUka7WSc


#TokyElectron
#TEL
#Engineer
#TechnologyEnablingLife",35,0,2,0,1,0,0,False,0,False,https://www.linkedin.com/posts/tokyoelectron_attraction-of-tokyo-electron-people-and-activity-7339214962126409729-fRBQ,TOKYO ELECTRON LIMITED,https://www.linkedin.com/company/tokyoelectron/posts,False,4 days ago,7339214962126409729,,
2025-06-01 00:00:12,"The world of semiconductor manufacturing demands precision. Every layer and component must connect perfectly to achieve breakthrough results. The same is true for the workplace.

This #PrideMonth, Tokyo Electron celebrates the power of unique perspectives that strengthen our teams. We believe that this enables innovation in semiconductor technology and serves as a driving force for the future of technology. Together, we’re building an industry where everyone can bring their talents to the table!

#TokyoElecton
#TEL
#ONETELDIFFERENTTOGETHER",74,1,6,2,3,5,0,True,1,False,https://www.linkedin.com/posts/tokyoelectron_pridemonth-tokyoelecton-tel-activity-7334730451380514817-zSdz,TOKYO ELECTRON LIMITED,https://www.linkedin.com/company/tokyoelectron/posts,False,2 weeks ago,7334730451380514817,,
2025-05-14 03:00:05,"Join us in Singapore from May 20 to 22 for SEMICON SOUTH EAST ASIA 2025!🌟

TEL Booth: L2101  
Workforce Development Career Fair Booth: W3423

We're thrilled to announce that Makiko Dojun, our Marketing Analyst from TEL, at the Career Exploration Fair! Her presentation will highlight the exciting career opportunities available at TEL.

Additionally, don’t miss  Dr. James PAPANU, Senior Director of 3DI Technology at TEL, will be speaking at the Advanced Packaging & Heterogeneous Integration Summit! He will provide an overview of the TEL Advanced Packaging portfolio from both hardware and process perspectives, including internal test vehicles for bonding and laser processing, as well as process integration flows.

Save the dates and be part of this incredible event!

https://lnkd.in/gw_7aJ9j

#SEMICONSEA2025
#AdvancedPackaging
#HybridBonding
#AIHardware
#TokyoElectron 
#TEL
#TechnologyEnablingLife 

翻訳を表示",101,1,2,0,1,2,0,True,3,False,https://www.linkedin.com/posts/tokyoelectron_semiconsea2025-advancedpackaging-hybridbonding-activity-7328252738272722944-mB0B,TOKYO ELECTRON LIMITED,https://www.linkedin.com/company/tokyoelectron/posts,False,1 month ago,7328252738272722944,,
